category,topic,top
еда,X40,блюда попробовать атмосферу любой вкус ресторан сети это настоящая изысканные готовят кухни заведения видов гостей приготовленные рецептам отведать лучшие несколько
природа,X41,самый воздуха словно момент главное чрезвычайно комплексе загляните мечтали царит цветы домике появлением дурново красивый лесной посреди остров городской выставка
природа,X42,воздухе свежем уголок название озера прогулок говорит детьми можете отдых гости уютный само совершенно становится тихий необычная будущее новом также
музей,X43,музей история россии который истории жизни экспозиция первый лет стране историю развития нашей единственный центр библиотека великой экспозиции экспонаты связана
место,X44,метров квадратных лабиринт настоящая площади составляет галереи огромным лидер интерактивный художественных высоты высота лабиринта леденящие её целый ансамбль названием улицу
дом,X45,ресторация интерьером кухней территория видом летней обширной загородная семейная качественной финский залив пляжем панорамным картой приятным славится открытая финским заливом
театр,X46,театр театра спектакли спектаклей театральная уникальное очень свой театральных театральной зрителей котором кукол детский постановки петербургская спектакль сравнительно зрители площадка
музей,X47,российского флота музее находятся свидетельства хранятся д государства движения офицерского виктор цой конце сайгон менделеева политической федерального значения живой балтийского
место,X48,хотите знаете ещё когда-нибудь приходите вместе знакомых ощутить сокровищ ваши отправляйтесь студию героем мечты огромных освоить язык иностранный вдохновляющее видели
место,X49,всем году мире петербургский которая начиная заканчивая стала эта значит школа является компания дизайна работе благодаря сожалению площадкой основанная людей
место,X50,детские взрослых свет видов отличаются мастер джелато каждый располагает основное изящные мечту тёплый отличие стрельба тире ножи парикмахерские тайм-кафе миракл
достопримечательность,X51,центре петербурга самом города санкт-петербурга сердце площади кафе комплекс новое прямо маленький стенах находится историческом искусств расположился исторический деле конюшенной
дом,X52,интерьера каждой атмосферу интерьеров яркие гостя герои волшебного создают уникальным каждого заведении радости краски встречают беззаботности предметы ароматы воздухе детской
место,X53,добро пожаловать хотите почувствовать внутри проспекте город веках драйв небо ветеранов этих настоящим внешнего очутиться шанс родео пещер антикафе чай
метро,X54,метро станция года станции линии расположена работает площадь проспект синей московско-петроградской станциями декабря метрополитена ноября находится открыта открытие петербургского самая
клуб,X55,клуб ночной новый клуба бар проект легендарного каждый гостей проспекте шоу city петербурга здании площадка районе формате создателей вечеринок веселье
вода,X56,обучение дайвинг открытие состоялось подводного первая интерес входят системе padi санкт-петербурге родного клуба существует вьетнамской приятное бесплатный консерватория состав ступень
еда,X57,полностью идея соответствует своему группа названию горе ума смерти открылся могут напитки устройте мороженого такие прожект ресторанная beer family project
место,X58,время слова смысле прямом времени профессии цвет нужны местом петербурге воды своя россия собственная создают произведение проекты инженеру соседям ситуацию
природа,X59,отдыха области ленинградской пляж озера природы озеро активного очень подходит любители местом любителей традициями сюда маяк прекрасным карельского перешейка база
клуб,X60,день сегодняшний сей наших дней клуб временем множество людей связи посольство москве нашей блокады горожане наиболее близкое соседство солнечной сторона
услуги,X61,красоты салон услуг самые современные мастера образ жизни стиля мужчин технологии мужчины спектр порядок широкий парикмахерских салона парикмахерской ради сфере
место,X62,тех любит хочет историей думаете пока кому пор лишь каждый отдых пять приходите детства картинг сказки мир отличный детстве первым
здоровье,X63,первые йоги помощь возможности шаги уютной делает первую комфортный делают людям рассказывая йога телом уникальная согласно интеллектуального человеческие походы полной
достопримечательность,X64,году здание дом дворец это стиле петра название архитектора известного архитектуры честь года ii месте построен стиля парк великого здания
музей,X65,искусства работы музея представляет собой современного художников петербургских культуры русского галерея уникальный коллекция дела архитектурных мировой нового экспонатов проект тысяч
еда,X66,кофе чая игры ароматного антикафе настольные кофейня чай игр ароматный этаж чашечкой пространства хорошего настольных уютная выпить большим выбор сорта
услуги,X67,проектов получить известен доктор непосредственном участии созданный педали арама мнацаканова коктейльный торговая точка лазерной эпиляции славится мастерская солнца покупки люди
место,X68,острове strong васильевском bar открылся пространство крестовском новый новое новом настроения ресторан арка которую переулке grill burger место бывшего отменной
животные,X69,вокруг животных неразрывно кто-то связан инициативе семи мостов большой видов зоопарк например фотографии кошек сама необходимым новыми птиц поэтому доске
еда,X70,паб пива заведение настоящие пивной лучших пиво ресторан напитков сортов ирландский традициях атмосферой завод блюд напитка гостям собственной вкусных ресторации
достопримечательность,X71,предметы находки времен деревянного неолита большая старинные иконы быта зодчества экспонатов коллекция шедевры веков прошлых край владение вокруг современные особняка
дети,X72,ребенка самого развития развитие раннего центра детей родителей поэтому важно задача возраста творческой педагогов возможность чувствовать настроением удовольствие мира очень
еда,X73,ресторан кухни посетителей кухней блюда русской блюдами европейской заведение итальянской кафе меню своих атмосферой блюд уютный ресторана гостей ждёт насладиться
услуги,X74,многие желание вернуться обязательно наверняка давно ваше подарить жители человеку хотят букет собственным детство всеми петергофе уютных прошлое имя загадать
еда,X75,кухня ресторана заведения ресторан интерьеры ждет вид шеф-повара интерьер европейская составляющие гастрономические посетителей гостей заведение своих известного традиции гостеприимство обстановка
магазин,X76,шоссе галерея стороны заходите ребят дальние трц пулковском восточный романтикой испанского учат можете покупки религиях культах существовавших представления некогда эмоции
место,X77,всём мире ловкость силу испытать месте лабиринт впечатлений приходите своем жаждете уличной завоевал оригинальным настоящие роде ребята всему огня мощной
вода,X78,водой точки чистой бывает зрения матери спецназ огромная решения иконы божьей прозрачной современные экстремальных творчество ожидания образцом мысли веке часто
магазин,X79,этаже центра всё торгового комплекса атмосфера ресторане пиворама найдёте русской который расположился ваш ждёт отдых почувствовать персонал панорамный ощутить третьем
достопримечательность,X80,петербургский петербурга зона особенность библиотека чистая вода большинства северным соседних экологически изображениях значился сначала деревянный значение перешёл владение дворянского знатного
кинотеатр,X81,кино комплексе торгово-развлекательном кинотеатр самым сети трк гранд мультиплекс каньон оборудование dolby atmos формула каро современный киноманов бутиков континент group
искусство,X82,каждому ответы вопросы петербуржцу счастливым своей области жизни искусством устроена позволит грандиозная силуэт знаком решения гостю трудно приходится персонажи душе
музыка,X83,сих пор россии является жизни филармония д музыкальной культурного тайны хранит имени шостаковича добрых легенде память историю растет центром академическая
еда,X84,spb href http kudago target blank class external-link rel nofollow ru restaurant leclick russia utm source ресторане place кухней центре
спорт,X85,спорта центр площадка игровых видами видов дух клубе виды команды спортивных здоровья волейбол будущих школа второй различных будут которым футбол
достопримечательность,X86,жизни лет времена серебряного вещи века года поэта анны ахматовой дни протяжении часто которым гумилев работал особое работают собирается необходимость
достопримечательность,X87,улице именно дом доме александра невского стороны улицы стоит известный садовой проспекта находится годы углу дома русский большой люди знаменитой
место,X88,миру всему является котором глаз будут оторваться знаменитой прекрасным современный мощи четыре баром остаться императоров полёт хххх легендарные роскошными тк
место,X89,бейгл царском селе начинкой ферма хутор погрузиться карельском перешейке вкусом напоминает бублик мясом книгу wi-fi страусиный ферме страусы носящее рассказывают
музей,X90,века xviii начале xx российской xix годов столетия прошлого империи начала середине постройки музей второй веке усадьба конца усадьбы конце
учеба,X91,детей школа взрослых обучение лет обучения дети студии клуб проводит деятельности юных профессиональные является игре спортивная школ инструментах музыкальных приглашает
дети,X92,мир могут дети детей сад это взрослые детский посетители приглашает познакомиться погрузиться взрослых волшебный ваших театра город главное рядом гости
языки,X93,свободно языке говорить внимание общаться уинстона черчилля изучения медицинских обучении стоит позволит английском английскому языку заметить семи душе выставка открытый
музей,X94,внимание своей историей горожан привлекает уделяют развиваться притягивает туристов маяки меньше красивыми цирк продолжает столетней обычных страниц моряков архитектурой многолетней
место,X95,набережной реки фонтанки грибоедова канала первые набережная вид мойки канал петербургских канале другом университетской вдоль стоял метров дворе петровская доме
музей,X96,сколько нового интерес одного вообще весь создатели расскажут открытий актерской павел месяца отличие организована самое мосты ломоносова мостом обычно проходит
место,X97,самых города санкт-петербурга северной россии одно петербурга это петербурге одна столицы санкт-петербурге одним является мест которые году городе место одной
достопримечательность,X98,лет назад месте здание берегу году петр земли невы находится собор бенуа архитектор смольный постройки монастыря участок строительство прошел домик
место,X99,многие другие новые замок событий заводят ранее михаил личности помещение дворе около реконструкция расположилась атмосферный известные внутри дворов своеобразный императором
музей,X100,ленинграда события порог две которых блокады музее попадают блокадного разрыв важные ленинградцев эпохи те талантливых простых вокруг времени своего ними
